,,,,,,,,,,,,,"SERV
AMB",,"SERV
HOSP",,"SP
HOSP",,"TOTAL
HOSP",,,,,,,,
Procedimento,,A,,PM,,MN,MX,,CID,,DESCRIÇÃO,,,,,,,,,CIR,,ANE,,URG,,TP,
,ACOMPANHAMENTO E INTERCORRÊNCIAS NO PRÉ E PÓS-TRANSPLANTE,,,,,,,,,,,,,,,,,,,,,,,,,,
,0506010058,,0,,0,0,,90,,,,AVALIAÇÃO DO POSSÍVEL DOADOR FALECIDO DE ORGÃOS OU TECIDOS PARA TRANSPLANTES,,"0,00",,"215,00",,"215,00",,,0,,N,,N,,AC
,0506020010,,0,,0,0,,130,,A049,,INTERCORRENCIA POS TRANSPLANTE ALOGÊNICO DE CELULAS-TRONCO HEMATOPOÉTICAS - NAO APARENTADO (HOSPITAL DIA),,"109,25",,"25,75",,"135,00",,,200,,N,,N,,AC
,0506020029,,0,,0,0,,130,,A049,,INTERCORRENCIA POS-TRANSPLANTE AUTOGENICO DE CELULAS-TRONCO HEMATOPOETICAS (HOSPITAL DIA),,"109,25",,"25,75",,"135,00",,,200,,N,,N,,AC
,0506020037,,0,,0,0,,130,,A049,,TRATAMENTO DE INTERCORRENCIA POS-TRANSPLANTE ALOGENICO DE CELULAS-TRONCO HEMATOPOETICAS DE APARENTADO (HOSPITAL DIA),,"109,25",,"25,75",,"135,00",,,50,,N,,N,,AC
,0506020045,,0,,0,0,,130,,A049,,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE ÓRGÃOS / CÉLULAS-TRONCO HEMATOPOÉTICAS,,"100,89",,"34,11",,"135,00",,,200,,N,,N,,AC
,0506020053,,0,,0,0,,130,,,,TRATAMENTO DE INTERCORRÊNCIA PÓS-TRANSPLANTE DE RIM - PÓS TRANSPLANTE CRÍTICO,,"82,62",,"35,43",,"118,05",,,200,,N,,N,,AC
,0506020061,,0,,0,0,,130,,,,TRATAMENTO DE INTERCORRENCIA PÓS TRANSPLANTE DE CORAÇÃO- PÓS TRANSPLANTE CRÍTICO,,"160,97",,"44,87",,"205,84",,,200,,N,,N,,AC
,0506020070,,0,,0,0,,130,,,,TRATAMENTO DE INTERCORRÊNCIA PÓS TRANSPLANTE DE PULMÃO UNI/BILATERAL - PÓS TRANSPLANTE CRÍTICO,,"250,54",,"107,43",,"357,97",,,200,,N,,N,,AC
